1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,压力
0.541666667,0.541666667,0.699894515,0.939345992,0.546413502,0.427215190,0.345991561,0.607594937,0.400843882,0.751582278,0.563818565,0.758966245,0.555907173,0.248945148,0.381856540,0.448312236,0.367088608,0.689345992,0.686181435,0.306962025,0.331223629,0.480485232,0.310654008,0.299050633,0.508966245,0.427742616,0.332278481,0.329113924,0.572784810,0.672468354,0.538502110,0.719936709,0.450421941,0.389240506,0.279008439,0.448839662,0.419303797,0.838080169,0.288502110,0.212552743,0.537447257,0.501582278,0.109704641,0.463080169,0.463080169,0.709388186,0.332278481,0.790084388,0.982067511,1.000000000,1.000000000,1.000000000,0.814873418,0.413765823,0.566455696,0.876582278,0.982594937,1.000000000,1.000000000,1.000000000,1.000000000,0.903876582,0.628790876,0.484177215,0.741561181,0.867088608,0.693565401,0.789029536,0.646888186,0.568037975,0.669567511,0.623417722,0.213607595,0.542721519,0.167721519,0.766877637,0.922995781,1.000000000,1.000000000,1.000000000,6
0.708333333,0.834915612,0.942510549,0.352320675,0.799578059,0.198312236,0.631856540,0.263713080,0.850210970,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.941962520,0.612782667,0.390295359,0.645569620,0.401898734,0.633966245,0.435654008,0.659282700,0.341772152,0.540084388,0.395042194,0.584915612,0.504219409,0.597046414,0.334915612,0.450949367,0.428270042,0.580168776,0.504219409,0.764240506,0.405590717,0.455168776,0.515822785,0.510548523,0.544831224,0.544831224,0.488924051,0.540611814,0.470464135,0.584388186,0.536919831,0.638185654,0.445675105,0.454113924,0.821729958,0.850738397,0.745253165,0.571202532,0.667721519,0.465189873,0.478375527,0.334915612,0.761075949,0.438291139,0.498945148,0.804852321,0.875000000,0.875000000,0.276898734,0.597573840,0.914029536,0.366561181,0.744725738,0.976793249,1.000000000,1.000000000,1.000000000,0.728243671,0.284315665,0.328059072,0.452004219,0.177742616,0.247890295,0.167721519,0.208333333,16
0.250000000,0.290084388,0.404535865,0.414029536,0.435654008,0.222573840,0.314345992,0.415611814,0.489451477,0.383966245,0.239978903,0.340189873,0.415084388,0.358122363,0.272151899,0.195147679,0.146097046,0.250527426,0.478902954,0.378164557,0.277953586,0.255274262,0.661656118,0.092299578,0.364978903,0.573839662,0.498417722,0.317510549,0.172468354,0.289029536,0.433544304,0.417194093,0.337552743,0.179324895,0.279535865,0.400316456,0.234177215,0.226793249,0.150843882,0.242616034,0.411392405,0.588080169,0.209915612,0.115506329,0.288502110,0.303797468,0.483122363,0.268987342,0.041139241,0.539556962,0.366561181,0.131329114,0.377109705,0.424578059,0.494198312,0.087025316,0.174050633,0.247362869,0.388185654,0.449367089,0.360232068,0.156645570,0.317510549,0.448839662,0.429852321,0.351793249,0.108649789,0.244725738,0.493143460,0.670358650,0.324367089,0.218881857,0.168248945,0.044303797,0.044831224,0.244725738,0.213080169,0.335970464,0.339135021,0.041666667,20
0.208333333,0.828059072,0.254746835,0.236286920,0.132911392,0.100738397,0.240506329,0.280590717,0.320675105,0.305907173,0.298523207,0.501582278,0.425105485,0.421413502,0.287447257,0.248417722,0.275316456,0.834388186,0.418248945,0.232594937,0.263713080,0.143987342,0.197784810,0.388185654,0.446729958,0.412974684,0.322257384,0.558016878,0.402953586,0.248945148,0.339135021,0.390822785,0.440400844,0.478902954,0.303797468,0.305379747,0.056962025,0.091772152,0.094936709,0.194092827,0.160864979,0.392405063,0.200421941,0.198312236,0.277426160,0.239978903,0.273206751,0.302742616,0.276898734,0.104430380,0.089662447,0.183016878,0.231012658,0.384493671,0.164556962,0.321729958,0.304852321,0.065928270,0.021097046,0.214135021,0.077531646,0.236286920,0.238924051,0.195675105,0.253164557,0.190400844,0.099156118,0.466772152,0.664029536,0.276898734,0.117616034,0.137658228,0.133966245,0.610759494,0.225738397,0.498417722,0.196729958,0.120253165,0.290084388,0.208333333,18
0.333333333,0.806434599,0.314873418,0.590189873,0.587025316,0.505801688,0.744725738,0.390295359,0.827004219,0.636075949,0.435917722,0.678797468,0.935126582,1.000000000,1.000000000,1.000000000,1.000000000,0.749324235,0.346486023,0.604957806,0.933544304,1.000000000,1.000000000,0.994231276,0.937368143,0.675995517,0.565928270,0.371835443,0.477848101,0.791139241,0.803270042,0.493934599,0.184599156,0.423786920,0.696729958,0.530590717,0.527162447,0.843354430,1.000000000,0.982364188,0.738989979,0.373252901,0.320147679,0.333333333,0.261603376,0.381856540,0.771624473,0.312763713,0.676687764,0.924314346,0.748549578,0.448312236,0.483122363,0.822784810,1.000000000,0.990506329,0.772151899,0.357594937,0.304852321,0.289029536,0.401898734,0.729430380,1.000000000,0.994725738,0.812763713,0.276898734,0.555379747,0.759229958,0.704641350,0.522679325,0.229430380,0.875527426,0.911919831,0.979957806,0.973628692,0.937236287,0.600210970,0.294303797,0.916666667,0.916666667,14
0.208333333,0.536392405,0.611814346,0.335970464,0.645569620,0.524789030,0.316455696,0.385021097,0.363924051,0.502637131,0.304324895,0.496835443,0.492088608,0.348101266,0.645569620,0.420886076,0.793776371,0.462552743,0.498417722,0.392405063,0.445675105,0.275843882,0.193037975,0.372362869,0.268987342,0.292721519,0.545358650,0.458069620,0.353902954,0.198312236,0.656118143,0.337025316,0.277953586,0.409282700,0.275843882,0.266877637,0.551687764,0.410337553,0.962025316,0.628955696,0.188291139,0.636603376,0.306962025,0.515822785,0.612341772,0.347046414,0.617616034,0.169303797,0.305907173,0.757383966,0.635021097,0.438291139,0.175632911,0.620253165,0.512130802,0.397151899,0.703586498,0.293776371,0.285864979,0.256329114,0.533755274,0.282700422,0.353902954,0.205168776,0.570675105,0.394514768,0.206751055,0.899261603,0.846518987,0.594409283,0.308016878,0.322257384,0.452531646,0.296940928,0.387658228,0.335970464,0.185126582,0.309599156,0.527426160,0.041666667,26
0.291666667,0.418248945,0.291666667,0.394514768,0.332805907,0.450421941,0.276898734,0.458333333,0.243143460,0.421940928,0.230485232,0.443037975,0.293248945,0.387658228,0.292721519,0.274789030,0.340717300,0.319092827,0.375000000,0.314345992,0.291666667,0.260021097,0.291666667,0.372890295,0.302215190,0.244198312,0.108122363,0.199367089,0.829905063,0.394514768,0.475210970,0.667721519,0.588080169,0.273206751,0.406645570,0.575421941,0.244725738,0.233122363,0.360232068,0.121308017,0.195675105,0.432489451,0.228375527,0.613924051,0.280590717,0.167721519,0.210443038,0.176160338,0.617616034,0.373417722,0.419303797,0.165611814,0.241033755,0.614978903,0.252109705,0.263713080,0.248945148,0.208333333,0.239978903,0.243670886,0.212025316,0.135548523,0.207805907,0.196729958,0.203586498,0.357594937,0.503691983,0.048523207,0.479957806,0.205168776,0.074894515,0.189873418,0.146624473,0.290084388,0.586497890,0.148734177,0.154535865,0.128164557,0.746835443,0.166666667,16
0.333333333,0.362869198,0.564345992,0.481540084,0.469409283,0.447257384,0.707805907,0.697257384,0.338607595,0.662974684,0.586497890,0.421413502,0.696202532,0.316983122,0.333333333,0.482594937,0.429324895,0.614451477,0.271624473,0.252637131,0.306434599,0.310654008,0.656645570,0.320675105,0.292194093,0.225738397,0.702004219,0.612341772,0.676160338,0.430907173,0.501582278,0.662447257,0.419831224,0.782700422,0.117088608,0.547468354,0.756329114,0.090189873,0.518459916,0.619725738,0.247890295,0.337025316,0.674050633,0.295358650,0.585443038,0.258438819,0.385548523,0.627109705,0.297468354,0.581751055,0.532172996,0.236814346,0.421940928,0.568037975,0.255801688,0.209388186,0.125000000,0.332805907,0.468354430,0.252637131,0.439345992,0.455168776,0.180379747,0.501582278,0.449367089,0.091244726,0.275316456,0.218881857,0.736814346,0.515822785,0.327004219,0.521624473,0.467827004,0.380801688,0.172468354,0.284810127,0.445147679,0.196202532,0.462552743,0.208333333,26
0.791666667,0.943565401,0.992616034,1.000000000,0.905854430,0.633702532,0.555907173,0.508438819,0.395569620,0.657172996,0.334388186,0.651898734,0.120253165,0.436708861,0.689873418,0.917721519,0.514767932,0.372362869,0.633966245,0.681962025,0.501582278,0.118143460,0.345991561,0.573839662,0.146624473,0.508438819,0.741033755,0.779008439,0.760021097,0.839662447,0.730485232,0.291666667,0.387658228,0.875000000,0.875000000,0.200949367,0.260021097,0.171413502,0.309599156,0.620780591,0.810654008,0.818037975,0.814873418,0.898734177,1.000000000,1.000000000,1.000000000,1.000000000,0.756889504,0.312796677,0.623417722,0.679324895,0.235232068,0.222573840,0.568565401,0.640295359,0.467827004,0.695675105,0.529008439,0.339135021,0.149261603,0.579113924,0.958860759,1.000000000,1.000000000,0.920457542,0.599255011,0.195147679,0.005274262,0.627637131,0.940928270,1.000000000,1.000000000,1.000000000,1.000000000,0.981540084,0.928533755,0.882383966,0.916666667,0.916666667,12
0.250000000,0.399261603,0.668776371,0.550632911,0.366033755,0.383966245,0.523734177,0.702004219,0.546940928,0.271097046,0.300632911,0.628164557,0.500527426,0.251054852,0.171940928,0.447257384,0.388185654,0.451476793,0.323312236,0.279535865,0.151898734,0.160337553,0.386603376,0.516350211,0.431434599,0.310126582,0.263713080,0.311708861,0.643459916,0.399789030,0.230485232,0.321202532,0.304852321,0.374472574,0.251582278,0.268459916,0.311181435,0.522679325,0.453059072,0.146097046,0.276898734,0.303797468,0.442510549,0.414556962,0.268459916,0.330696203,0.449367089,0.443037975,0.197257384,0.036919831,0.379746835,0.087552743,0.321729958,0.229957806,0.246835443,0.361814346,0.362341772,0.367088608,0.136075949,0.340717300,0.311181435,0.363924051,0.302742616,0.195147679,0.306434599,0.368670886,0.248945148,0.284282700,0.121835443,0.250000000,0.431962025,0.300632911,0.170358650,0.337025316,0.468354430,0.411919831,0.251582278,0.350738397,0.327004219,0.291666667,6
