1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,ѹ��
0.375000000,0.287974684,0.573839662,0.427742616,0.379219409,0.464662447,0.602848101,0.575421941,0.693565401,0.907172996,0.605485232,0.883966245,0.587552743,0.686708861,0.510021097,0.286392405,0.524261603,0.661392405,0.143987342,0.506856540,0.634493671,0.891350211,0.790084388,0.640822785,0.288502110,0.555379747,0.504746835,0.359177215,0.214135021,0.429324895,0.371308017,0.382911392,0.459651899,0.390031646,0.775316456,0.812763713,0.749472574,0.455696203,0.722573840,0.629746835,0.444092827,0.361286920,0.407700422,0.641350211,0.503164557,0.744725738,0.618143460,0.421940928,0.446729958,0.510021097,0.579641350,0.811708861,0.566983122,0.538502110,0.420358650,0.319092827,0.735759494,0.731540084,0.491033755,0.217827004,0.473101266,0.976793249,0.630274262,0.656645570,0.392405063,0.265822785,0.339662447,0.420886076,0.281645570,0.465189873,0.581223629,0.742616034,0.624472574,0.550632911,0.552742616,0.473101266,0.679852321,0.820938819,0.983386076,0.583333333,6
0.791666667,0.791666667,0.540084388,0.585443038,0.593354430,0.372890295,0.752109705,0.891350211,0.973628692,0.821598101,0.497494726,0.295358650,0.656118143,0.308016878,0.569092827,0.442510549,0.407172996,0.787974684,0.937895570,0.946598101,0.955300633,0.981012658,1.000000000,1.000000000,0.997890295,0.963080169,0.928270042,0.893459916,0.891350211,0.774261603,0.323312236,0.741033755,0.837552743,0.889767932,0.933544304,0.938291139,0.884493671,0.988924051,0.719936709,0.406645570,0.406645570,0.656645570,0.772151899,0.981012658,0.762658228,0.476793249,0.602320675,0.736814346,0.184071730,0.671413502,0.290084388,0.546413502,0.847046414,0.939873418,0.960838608,0.673655063,0.272020042,0.554324895,0.563818565,0.461497890,0.864451477,0.794831224,0.326476793,0.603902954,0.911392405,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.972573840,0.978902954,0.859440928,0.492352321,0.083333333,16
0.250000000,0.436181435,0.304324895,0.137658228,0.222046414,0.360759494,0.507911392,0.404535865,0.369725738,0.104957806,0.145042194,0.145042194,0.207805907,0.226265823,0.219936709,0.136075949,0.057489451,0.367616034,0.456751055,0.372362869,0.459915612,0.368143460,0.147151899,0.317510549,0.423523207,0.504746835,0.221518987,0.246835443,0.165611814,0.245253165,0.269514768,0.309599156,0.353902954,0.157700422,0.141877637,0.073312236,0.331751055,0.319620253,0.530063291,0.267405063,0.385021097,0.492616034,0.474156118,0.273734177,0.050632911,0.286919831,0.357067511,0.390295359,0.512130802,0.330168776,0.108122363,0.201476793,0.238924051,0.327531646,0.432489451,0.361286920,0.353902954,0.363924051,0.477320675,0.373417722,0.090717300,0.289556962,0.492616034,0.520569620,0.488396624,0.119198312,0.098628692,0.209388186,0.361286920,0.305907173,0.449367089,0.285337553,0.247362869,0.279535865,0.253691983,0.441983122,0.443565401,0.362341772,0.283227848,0.125000000,20
0.333333333,0.441983122,0.420886076,0.212552743,0.298523207,0.343881857,0.220991561,0.638185654,0.366033755,0.590189873,0.375527426,0.318565401,0.507911392,0.374472574,0.779535865,0.504746835,0.406118143,0.279535865,0.484704641,0.331223629,0.291139241,0.345464135,0.251582278,0.757911392,0.656645570,0.261075949,0.227320675,0.299050633,0.255274262,0.150843882,0.293248945,0.790611814,0.933544304,0.779535865,0.208333333,0.168248945,0.552215190,0.877637131,0.092827004,0.418248945,0.334388186,0.169831224,0.460970464,0.309599156,0.512658228,0.548523207,0.323839662,0.221518987,0.298523207,0.373945148,0.905590717,0.809599156,0.254219409,0.380801688,0.617088608,0.724156118,0.662974684,0.165084388,0.208333333,0.582805907,0.812763713,0.939345992,0.271624473,0.297995781,0.483649789,0.280063291,0.634493671,0.783227848,0.135021097,0.166666667,0.243670886,0.263713080,0.619198312,0.710443038,0.114451477,0.159810127,0.327004219,0.274261603,0.553797468,0.750000000,18
0.208333333,0.279008439,0.349683544,0.669831224,0.655063291,0.260021097,0.306434599,0.447784810,0.752637131,0.938818565,0.939873418,0.806434599,0.622362869,0.424050633,0.671413502,0.588080169,0.612869198,0.597046414,0.577531646,0.763185654,0.551160338,0.912974684,1.000000000,1.000000000,1.000000000,0.966244726,0.818565401,0.571202532,0.790611814,0.689082278,0.424050633,0.431962025,0.787974684,0.257911392,0.772151899,0.931962025,0.980485232,1.000000000,1.000000000,0.990506329,0.884493671,0.681962025,0.444092827,0.235759494,0.230485232,0.513185654,0.789029536,0.612341772,0.435654008,0.305379747,0.334388186,0.479430380,0.550105485,0.620780591,0.525316456,0.728639241,0.838739451,0.812236287,0.720464135,0.426160338,0.638185654,0.513713080,0.664556962,0.893196203,1.000000000,1.000000000,1.000000000,0.994643328,0.830135812,0.598628692,0.420094937,0.331751055,0.284282700,0.743670886,0.949894515,1.000000000,0.852848101,0.559994726,0.380274262,0.875000000,14
0.250000000,0.683016878,0.757911392,0.218354430,0.749472574,0.638713080,0.265822785,0.572784810,0.562236287,0.190400844,0.850738397,0.584915612,0.339662447,0.659282700,0.461497890,0.722573840,0.722573840,0.367088608,0.756856540,0.397679325,0.772679325,0.634229958,0.323312236,0.600210970,0.196729958,0.359704641,0.352320675,0.426160338,0.366561181,0.474156118,0.827004219,0.368143460,0.523206751,0.357594937,0.039556962,0.532700422,0.232594937,0.899261603,0.498417722,0.270569620,0.381856540,0.272679325,0.296413502,0.179324895,0.229957806,0.377109705,0.255801688,0.311181435,0.167194093,0.369725738,0.295358650,0.511603376,0.255801688,0.440400844,0.369198312,0.387658228,0.374472574,0.113396624,0.425105485,0.170358650,0.602848101,0.246308017,0.522679325,0.555907173,0.234704641,0.755801688,0.447257384,0.801687764,0.334915612,0.275843882,0.488924051,0.269514768,0.331487342,0.251054852,0.262130802,0.179852321,0.702004219,0.279535865,0.193037975,0.583333333,26
0.291666667,0.569092827,0.684071730,0.454113924,0.398734177,0.435654008,0.985232068,0.659282700,0.491561181,0.191983122,0.465189873,0.353375527,0.474683544,0.268459916,0.422468354,0.589135021,0.604430380,0.756329114,0.275316456,0.478375527,0.402426160,0.328586498,0.348628692,0.889767932,0.374472574,0.435126582,0.329641350,0.348628692,0.399261603,0.785337553,0.239451477,0.357067511,0.419303797,0.331223629,0.334915612,0.649261603,0.552215190,0.581751055,0.745253165,0.291139241,0.458860759,0.291666667,0.365506329,0.383966245,0.259493671,0.436708861,0.288238397,0.210970464,0.334388186,0.396097046,0.891877637,0.513185654,0.434071730,0.651371308,0.198839662,0.170886076,0.303270042,0.435126582,0.191455696,0.465717300,0.270569620,0.391350211,0.412447257,0.484177215,0.359177215,0.535337553,0.185126582,0.279008439,0.411919831,0.427742616,0.320675105,0.391877637,0.233649789,0.329113924,0.437236287,0.501582278,0.820675105,0.221518987,0.359704641,0.250000000,16
0.458333333,0.562236287,0.338080169,0.270569620,0.315400844,0.336497890,0.083333333,0.834915612,0.412974684,0.710443038,0.842299578,0.788502110,0.281645570,0.479957806,0.791139241,0.296940928,0.423523207,0.297468354,0.333860759,0.459915612,0.405590717,0.738396624,0.500527426,0.572257384,0.534810127,0.305907173,0.689873418,0.564873418,0.458860759,0.946202532,0.439345992,0.470991561,0.675105485,0.206223629,0.375000000,0.312763713,0.779008439,0.329641350,0.368143460,0.548523207,0.254746835,0.454641350,0.333333333,0.252109705,0.748417722,0.397151899,0.315400844,0.191455696,0.660864979,0.157172996,0.160337553,0.392405063,0.424578059,0.588080169,0.464662447,0.532700422,0.581223629,0.386075949,0.420358650,0.441455696,0.425105485,0.579641350,0.480485232,0.405590717,0.737341772,0.367088608,0.793248945,0.670886076,0.343881857,0.363396624,0.378164557,0.607594937,0.497890295,0.376054852,0.436181435,0.361814346,0.437763713,0.277953586,0.358649789,0.291666667,26
0.791666667,0.960443038,1.000000000,0.928270042,0.793248945,0.641350211,0.236286920,0.362341772,0.338080169,0.438818565,0.974683544,0.772151899,0.900316456,0.958333333,0.730485232,0.335970464,0.572257384,0.679852321,0.781118143,0.849683544,0.883438819,0.917194093,0.950949367,0.984704641,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.985232068,0.944620253,0.877109705,0.809599156,0.828850211,0.879483122,0.930116034,0.979694093,0.996571730,1.000000000,1.000000000,1.000000000,0.996835443,0.963080169,0.900316456,0.495253165,0.296413502,0.603375527,0.198312236,0.540084388,0.829113924,0.805379747,0.556434599,0.623945148,0.824367089,0.862341772,0.845464135,0.871308017,0.998417722,0.964662447,0.958333333,0.958333333,0.969936709,0.966772152,0.662974684,0.300105485,0.469409283,0.832278481,1.000000000,1.000000000,0.992088608,0.971782700,0.879219409,0.750000000,0.750000000,12
0.875000000,0.429324895,0.378164557,0.661392405,0.355485232,0.368143460,0.696729958,0.414556962,0.791666667,0.190400844,0.708333333,0.527426160,0.416666667,0.486286920,0.413502110,0.328059072,0.130274262,0.275843882,0.323839662,0.490506329,0.514240506,0.754746835,0.371835443,0.387658228,0.545358650,0.386603376,0.499472574,0.739451477,0.297995781,0.420886076,0.686708861,0.376054852,0.553270042,0.560126582,0.347046414,0.431962025,0.539029536,0.358122363,0.455696203,0.354430380,0.248945148,0.399261603,0.742088608,0.348628692,0.446202532,0.343354430,0.315928270,0.266877637,0.333333333,0.464135021,0.582805907,0.594936709,0.223628692,0.482067511,0.668248945,0.362869198,0.463607595,0.534810127,0.283227848,0.468354430,0.592299578,0.236814346,0.448312236,0.494725738,0.304852321,0.401898734,0.370253165,0.414556962,0.343354430,0.409810127,0.302742616,0.476265823,0.552742616,0.295886076,0.428797468,0.488924051,0.293776371,0.372890295,0.404008439,0.291666667,6
