1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,ѹ��
0.53333333,0.51111111,0.53333333,0.54444444,0.70555556,0.57500000,0.44444444,0.48888889,0.50000000,0.53888889,0.54722222,0.50694444,0.50902778,0.51006944,0.52170139,0.53862847,0.54709201,0.50687934,0.50899523,0.54338650,0.54947103,0.56362440,0.58181220,0.72423943,0.57323083,0.42222222,0.45555556,0.50555556,0.60833333,0.50416667,0.40000000,0.55555556,0.58888889,0.72777778,0.69722222,0.72638889,0.66319444,0.60937500,0.51579861,0.42222222,0.61111111,0.63888889,0.60833333,0.52638889,0.44444444,0.43333333,0.42222222,0.47777778,0.50555556,0.50833333,0.52083333,0.50486111,0.50798611,0.54288194,0.56032986,0.71349826,0.55674913,0.40000000,0.46666667,0.47777778,0.43888889,0.40000000,0.64444444,0.74444444,0.83888889,0.77500000,0.68750000,0.59930556,0.51111111,0.55184258,0.55184258,0.55184258,0.55184258,0.55184258,0.55184258,0.55184258,0.55184258,0.55184258,0.55184258,0.55184258,6
0.77777778,0.81111111,0.81666667,0.77500000,0.74305556,0.78263889,0.75798611,0.76788194,0.77282986,0.74197049,0.71542969,0.69104818,0.71219076,0.71165093,0.73360324,0.70013496,0.69451192,0.64725596,0.63473909,0.75070288,0.74201811,0.69323128,0.65772675,0.63997449,0.73109835,0.73221584,0.72166348,0.66083174,0.68597142,0.74298571,0.83815952,0.78574643,0.75953988,0.73532550,0.72321830,0.78383137,0.76969346,0.80706895,0.73686781,0.76843391,0.78421695,0.80321959,0.79049868,0.77302712,0.78651356,0.74881234,0.72996172,0.74275864,0.74915710,0.71902299,0.75951150,0.74642241,0.73333333,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,0.74189140,16
0.62222222,0.60000000,0.60000000,0.61111111,0.65000000,0.61388889,0.56250000,0.49236111,0.42222222,0.43333333,0.44444444,0.48888889,0.61111111,0.55000000,0.54166667,0.61527778,0.65208333,0.68159722,0.68524306,0.64262153,0.57686632,0.55509983,0.56643880,0.56099718,0.55827637,0.53469374,0.52290243,0.51700677,0.52517005,0.57369614,0.56462585,0.53786848,0.54671202,0.58446712,0.63667800,0.60722789,0.59250283,0.61847364,0.60923682,0.62684063,0.61342032,0.58448794,0.55891063,0.55723310,0.55639433,0.54486383,0.55020969,0.56399374,0.63755242,0.67433177,0.68161033,0.67413850,0.68151369,0.64075685,0.56482287,0.56018921,0.56898349,0.57338064,0.57557921,0.58778960,0.60500591,0.61361407,0.61791814,0.62007018,0.61003509,0.60501755,0.60000000,0.58445040,0.58445040,0.58445040,0.58445040,0.58445040,0.58445040,0.58445040,0.58445040,0.58445040,0.58445040,0.58445040,0.58445040,0.58445040,20
0.77777778,0.67777778,0.62777778,0.62500000,0.63472222,0.67291667,0.68090278,0.68489583,0.66467014,0.64344618,0.66616753,0.68863932,0.66654188,0.64438205,0.61107992,0.58331774,0.56943665,0.56249610,0.57013694,0.55173514,0.52031201,0.48237823,0.44444444,0.56666667,0.62777778,0.62500000,0.57916667,0.57847222,0.58923611,0.59461806,0.58619792,0.58198785,0.55766059,0.54549696,0.56163737,0.56970757,0.56263156,0.57020467,0.58510234,0.60366228,0.59072003,0.55091557,0.53101334,0.52106223,0.48275334,0.44444444,0.47777778,0.50555556,0.54166667,0.57083333,0.57430556,0.60937500,0.61579861,0.63012153,0.62617188,0.59086372,0.56209852,0.50327148,0.44444444,0.50000000,0.50555556,0.50833333,0.48750000,0.49930556,0.51631944,0.52482639,0.54019097,0.55555556,0.57569061,0.57569061,0.57569061,0.57569061,0.57569061,0.57569061,0.57569061,0.57569061,0.57569061,0.57569061,0.57569061,0.57569061,18
0.40000000,0.41111111,0.42222222,0.41111111,0.40000000,0.64444444,0.73333333,0.77777778,0.80000000,0.61111111,0.42222222,0.64444444,0.55555556,0.53333333,0.70000000,0.82777778,0.80277778,0.60138889,0.40000000,0.42222222,0.44444444,0.65555556,0.71666667,0.78055556,0.83472222,0.73958333,0.71423611,0.70156250,0.75078125,0.65316840,0.59325087,0.75218099,0.78720161,0.74915636,0.84124485,0.83173353,0.86031121,0.79682227,0.79841114,0.84365001,0.83293612,0.83869028,0.78601181,0.80411701,0.77983629,0.82325148,0.86718129,0.86692398,0.82235088,0.81117544,0.83892105,0.76390497,0.81528582,0.86666667,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,0.70154306,14
0.75555556,0.84444444,0.84444444,0.84444444,0.78888889,0.80555556,0.85833333,0.88472222,0.80902778,0.80451389,0.85781250,0.87335069,0.85889757,0.86278212,0.80916884,0.82680664,0.81340332,0.78447944,0.79223972,0.84056430,0.84250437,0.79902996,0.81062609,0.81642416,0.80821208,0.88188382,0.79649746,0.83158207,0.84912437,0.84678441,0.80116998,0.74502943,0.82807027,0.75847958,0.72368423,0.78406434,0.74758773,0.77379386,0.73134138,0.68789291,0.76616868,0.71641767,0.65820884,0.64021553,0.64232999,0.72116499,0.72724916,0.68584680,0.62070118,0.55555556,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,0.78314153,26
0.60000000,0.55555556,0.55555556,0.55555556,0.50000000,0.44444444,0.45555556,0.46111111,0.49722222,0.49305556,0.51319444,0.53437500,0.48940972,0.44444444,0.45555556,0.50555556,0.67500000,0.61527778,0.55208333,0.53159722,0.53246528,0.46623264,0.40000000,0.46666667,0.50000000,0.47222222,0.44444444,0.65555556,0.77222222,0.63055556,0.59305556,0.66319444,0.56493056,0.53802083,0.70234375,0.60672743,0.54780816,0.50723741,0.49806315,0.49347602,0.50229357,0.48448012,0.49779561,0.46000892,0.42222222,0.43333333,0.44444444,0.67777778,0.71666667,0.82500000,0.83472222,0.66180556,0.58645833,0.74878472,0.80772569,0.64830729,0.60193142,0.67874349,0.76159397,0.83635254,0.85150960,0.82575480,0.85732185,0.87310537,0.88888889,0.59102768,0.59102768,0.59102768,0.59102768,0.59102768,0.59102768,0.59102768,0.59102768,0.59102768,0.59102768,0.59102768,0.59102768,0.59102768,0.59102768,0.59102768,16
0.93333333,0.92222222,0.80555556,0.78055556,0.66805556,0.62291667,0.68923611,0.78906250,0.75008681,0.70837674,0.75418837,0.83264974,0.76076931,0.60260688,0.44444444,0.57777778,0.70000000,0.79444444,0.60833333,0.42222222,0.61111111,0.71666667,0.79166667,0.82916667,0.75902778,0.73506944,0.72309028,0.71710069,0.73632812,0.59038628,0.44444444,0.60000000,0.71111111,0.70000000,0.71666667,0.81388889,0.80694444,0.78125000,0.76840278,0.75086806,0.80876736,0.88216146,0.75219184,0.67609592,0.74915907,0.74124620,0.69284532,0.67975600,0.75098911,0.75327233,0.73219172,0.71054031,0.68888889,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,0.71864402,26
0.60000000,0.64444444,0.70000000,0.68333333,0.68611111,0.65416667,0.60486111,0.61354167,0.64010417,0.69782986,0.68224826,0.64112413,0.62056207,0.62139214,0.65514052,0.67201470,0.68045180,0.69578145,0.70344628,0.71838981,0.69252824,0.69070856,0.73424317,0.72267714,0.73911635,0.70289151,0.68477909,0.64238954,0.68786144,0.66615294,0.74418758,0.71653824,0.71382467,0.71246789,0.70067839,0.66145031,0.64183626,0.66536258,0.68823684,0.63300731,0.52761477,0.42222222,0.51111111,0.61111111,0.59444444,0.60833333,0.64861111,0.69097222,0.68993056,0.70052083,0.71692708,0.73624132,0.72367622,0.70628255,0.68647461,0.65434842,0.64939643,0.65803155,0.66666667,0.66540336,0.66540336,0.66540336,0.66540336,0.66540336,0.66540336,0.66540336,0.66540336,0.66540336,0.66540336,0.66540336,0.66540336,0.66540336,0.66540336,0.66540336,0.66540336,0.66540336,0.66540336,0.66540336,0.66540336,0.66540336,12
0.60000000,0.68888889,0.70000000,0.71666667,0.75833333,0.69027778,0.68958333,0.54479167,0.40000000,0.54444444,0.70555556,0.73055556,0.78750000,0.82708333,0.84687500,0.81232639,0.76171875,0.76974826,0.80709635,0.78132595,0.79066298,0.77310927,0.80877686,0.77105509,0.74108310,0.74831933,0.70749300,0.68707983,0.75465103,0.77732551,0.79977387,0.84433138,0.86661013,0.84441618,0.77776364,0.79999293,0.78888536,0.77222046,0.74166578,0.75972178,0.72430533,0.71770822,0.70329856,0.65164928,0.67026908,0.69069010,0.71201172,0.71156141,0.71133626,0.74455702,0.69450073,0.66947259,0.64444444,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,0.73138705,6
